,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
109,0.543,0.948,-3.841,0.0596,1.9e-05,0.144,0.196,0.642,117.998,69uzV9BQmNLPIu0dWK4Tbe,133353
110,0.613,0.808,-2.851,0.0346,0.0426,0.0159,0.102,0.38,124.037,0cQVqPuHQP4KEwc7ZUQmj6,240427
111,0.548,0.632,-5.569,0.145,0.0126,4.95e-06,0.0769,0.535,113.682,7KdF7Zac5eC9jutk9Qret4,245800
112,0.462,0.722,-5.134,0.0306,0.0356,4.52e-06,0.127,0.327,173.941,20Dw7Jar5hUbwX5FwHdQoG,191294
113,0.548,0.532,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03,5FVd6KXrgO9B3JPmC8OPst,272394
114,0.321,0.416,-8.935,0.0343,0.266,3.02e-05,0.106,0.151,114.594,6JF5OEqj3bIEdoBTkHVACm,236427
115,0.674,0.428,-9.504,0.122,0.121,0.0,0.132,0.337,84.878,2dLLR6qlu5UJ5gk0dKz0h3,190185
116,0.174,0.742,-5.93,0.0485,0.00181,0.281,0.198,0.36,163.378,2enPRFda84VE2wtI8c86Uf,223747
117,0.636,0.676,-3.442,0.0263,0.0807,0.0,0.0831,0.273,113.98,6jHvX8ZnHKC1PnrPMJ0Emt,208760
118,0.349,0.698,-5.676,0.0689,0.00704,0.323,0.336,0.383,167.653,6y6y7GCq8M4Uy8Tg87dTTJ,251187
119,0.639,0.912,-2.621,0.0615,0.00107,0.0,0.097,0.343,143.448,6nzXkCBOhb2mxctNihOqbb,227520
120,0.776,0.626,-12.561,0.0396,0.622,0.899,0.086,0.866,122.072,7sIx70dGj3VBiHWr0KZXfD,194733
121,0.544,0.241,-14.779,0.03,0.983,0.774,0.101,0.359,109.437,3Y4rUyw7XBCK6hGHCOt6rp,204773
122,0.69,0.578,-7.436,0.0929,0.167,0.0,0.305,0.416,99.961,3G6hD9B2ZHOsgf4WfNu7X1,193059
123,0.691,0.631,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,086myS9r57YsLbJpU0TgK9,161124
124,0.545,0.968,-3.553,0.0853,0.0387,0.00325,0.331,0.527,169.965,0i5spxZKedPA2TgGuvJ3AL,209386
125,0.775,0.655,-7.333,0.102,0.114,0.00016,0.035,0.346,114.503,44CZRkOxv7UItaAUmh8PgN,323253
126,0.44,0.778,-1.786,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,7oWbeO9v3Cfs900q7JhLAs,229347
127,0.62,0.594,-16.066,0.0383,0.887,0.5,0.0917,0.698,165.861,6HJxxqHWMdidwTVZmZWeHU,167987
128,0.288,0.758,-5.692,0.0371,0.00616,0.0,0.303,0.619,97.094,2AT8iROs4FQueDv2c8q2KE,201726
129,0.565,0.872,-3.452,0.0309,0.0558,0.554,0.298,0.352,120.004,6UzXz68onk5GR7kO8s5jQc,246493
130,0.679,0.63,-6.83,0.157,0.76,6.95e-05,0.111,0.556,123.072,6pSliMukEwAdpMPgCKTKDH,188280
131,0.559,0.67,-4.985,0.0474,0.592,0.000184,0.171,0.438,78.957,06WnUZymWyJamDivTWqJZA,221895
132,0.621,0.692,-6.858,0.0291,0.000363,1.75e-05,0.335,0.381,99.806,73jVPicY2G9YHmzgjk69ae,254510
133,0.764,0.567,-8.585,0.0609,0.0126,9.51e-05,0.257,0.428,89.988,74fpNVAJrKGQuqHETi4WSt,198907
134,0.639,0.715,-8.954,0.0392,0.0243,0.000552,0.619,0.813,128.072,04caEZhAsQKnWqKsMwk9ud,238853
135,0.829,0.435,-10.136,0.0515,0.0363,0.881,0.119,0.594,103.817,2lwi35A2ym3FAmSlvOGnQp,230147
136,0.464,0.814,-6.371,0.0369,0.00882,0.2,0.162,0.467,161.845,0rUIff1QHd5zlOBtlHVqd9,298920
137,0.52,0.436,-11.508,0.0355,0.865,0.0651,0.123,0.114,126.053,50M7nY1oQuNHecs0ahWAtI,245240
138,0.728,0.638,-6.455,0.0336,0.249,0.0,0.116,0.872,130.014,0NdTUS4UiNYCNn5FgVqKQY,193030
139,0.561,0.844,-2.911,0.0332,0.0358,0.00829,0.362,0.547,124.005,3ge4UtIlwtQfhCzVmyN0Le,259413
140,0.614,0.938,-4.461,0.0611,0.000532,0.0,0.368,0.607,100.058,4WiiRw2PHMNQE0ad6y6GdD,224674
141,0.76,0.579,-5.079,0.0388,0.00715,0.000679,0.0304,0.975,99.979,1leXuBiWQMgbvOIIedqbLB,223187
142,0.492,0.779,-5.022,0.0498,0.0292,0.0,0.129,0.445,104.966,1F5A4LpF8ylUVtPoMAvNvn,196027
143,0.589,0.481,-4.801,0.0285,0.273,1.33e-05,0.0986,0.176,93.568,5dyfHe3tR7wyzfuNo0uu3Y,228293
144,0.293,0.175,-15.543,0.0308,0.903,0.528,0.109,0.089,83.182,1hrar0wbUsvgSUpUXR5Wq0,268456
145,0.533,0.251,-11.283,0.0372,0.873,0.104,0.134,0.186,77.503,2IqjKEBiz0CdLKdkXhxw84,223600
146,0.34,0.45,-9.881,0.029,0.546,0.126,0.283,0.111,85.579,5nFAzVoza96Kbxj83YsCvw,274200
147,0.553,0.685,-10.624,0.0266,0.145,0.859,0.138,0.491,79.998,6XyjwF7CAwuEaW77noJr6I,146293
148,0.579,0.558,-6.986,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,7nzsY8vlnKdvGOEE0rjAXZ,207357
149,0.524,0.882,-3.038,0.0367,0.108,1.1e-06,0.071,0.399,119.94,2O9O26335YYVckmRgPKY3s,204547
150,0.396,0.535,-11.09,0.0411,0.889,0.00678,0.116,0.435,146.416,2Ck6gblyk3UFCVPTh8o3TN,253013
151,0.644,0.811,-7.774,0.0517,0.149,0.000473,0.17,0.817,154.909,51DZ0wUocQ8sQfjnibXVcD,202667
152,0.551,0.324,-10.962,0.0314,0.896,0.0873,0.277,0.231,90.957,3JsA2sWDNR9oQogGAzqqtH,217053
153,0.486,0.623,-8.264,0.0358,0.734,0.536,0.0509,0.525,86.007,6Thn8AOHIwPCkf2O4ZgfC2,370200
154,0.616,0.88,-3.59,0.042,0.0521,0.000717,0.0539,0.751,94.011,0VUKyt3fMjws3me8rZJDua,182518
155,0.687,0.772,-4.462,0.0291,0.0565,0.0001,0.0602,0.493,100.01,1M8HqdQbTxkUn1NaY6329V,224933
156,0.577,0.827,-7.54,0.0365,0.00338,0.000647,0.26,0.179,101.031,57nNNkgk768QVXq3uHxu5e,215520
157,0.756,0.578,-3.886,0.0386,0.011,0.00645,0.127,0.955,102.96,2PeKCn8NSGQXAHONaCh3wB,280427
158,0.264,0.285,-15.208,0.0385,0.892,0.000471,0.344,0.0776,84.825,7LbUv7w2z7rEbNqp1uIL9U,240671
159,0.422,0.321,-8.952,0.0294,0.76,2.33e-06,0.429,0.28,78.533,3IvSKBO9Fu4yEWRPXvfrLU,196347
160,0.588,0.751,-7.588,0.0328,0.00174,6.57e-05,0.353,0.52,136.979,4dTVgHZFPlaq9nPbLVVLSG,209280
161,0.397,0.0666,-20.405,0.0383,0.963,0.158,0.107,0.0389,137.313,57A6HbITtifBco2NbF7Qq8,174172
162,0.516,0.942,-4.113,0.036,0.000182,0.464,0.116,0.964,95.996,5GKVcvTgnFYtfh25qKQtRg,242293
163,0.657,0.913,-4.984,0.0528,0.00392,0.00149,0.466,0.906,108.036,5WSdMcWTKRdN1QYVJHJWxz,254620
164,0.45,0.661,-8.537,0.0411,0.396,0.0362,0.0912,0.476,173.909,3l3SbRkrK1aQ5Dk1h7vroV,285533
